env=blobwars  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=4  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are a run-and-gun hero. What should the agent do next to advance and shoot enemies?

# re-plan#00  plan='Click Start New Game'
  exec0: stick=(+1.08,+0.15) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.00,+0.20) buttons=X/shoot,RT/accel  state={}
  exec2: stick=(+1.04,+0.20) buttons=X/shoot,RT/accel  state={}
  exec3: stick=(+1.05,+0.20) buttons=X/shoot,RT/accel  state={}
# re-plan#01  plan='Click Start New Game'
  exec0: stick=(+0.61,-0.08) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+0.62,-0.01) buttons=X/shoot,RT/accel  state={}
  exec2: stick=(+0.97,+0.05) buttons=X/shoot,RT/accel  state={}
  exec3: stick=(+0.96,+0.07) buttons=X/shoot,RT/accel,Start  state={}
# re-plan#02  plan='Click Start New Game'
  exec0: stick=(+1.04,+0.43) buttons=A/jump,B,Y,RT/accel  state={}
  exec1: stick=(+0.90,+0.56) buttons=A/jump,B,Y,RT/accel  state={}
  exec2: stick=(+1.04,+0.61) buttons=A/jump,B,Y,RT/accel  state={}
  exec3: stick=(+1.02,+0.62) buttons=A/jump,X/shoot,B,RT/accel  state={}
# re-plan#03  plan='Click Start New Game'
  exec0: stick=(+1.08,+0.02) buttons=RT/accel,RB  state={}
  exec1: stick=(+1.08,+0.08) buttons=RT/accel  state={}
  exec2: stick=(+1.10,+0.08) buttons=RT/accel  state={}
  exec3: stick=(+1.08,+0.03) buttons=RT/accel  state={}
# re-plan#04  plan='Click Start New Game'
  exec0: stick=(+1.03,+0.48) buttons=B,RT/accel,LB  state={}
  exec1: stick=(+1.02,+0.52) buttons=B,RT/accel,LB  state={}
  exec2: stick=(+1.09,+0.42) buttons=B,RT/accel,LB  state={}
  exec3: stick=(+1.11,+0.26) buttons=B,RT/accel,LB  state={}
# re-plan#05  plan='Click Start New Game'
  exec0: stick=(+1.10,+0.55) buttons=RT/accel  state={}
  exec1: stick=(+1.13,+0.53) buttons=X/shoot,RT/accel  state={}
  exec2: stick=(+1.13,+0.54) buttons=X/shoot,RT/accel  state={}
  exec3: stick=(+1.11,+0.55) buttons=X/shoot,RT/accel  state={}
# re-plan#06  plan='Click Start New Game'
  exec0: stick=(+1.05,+1.22) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+0.60,+1.22) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec2: stick=(+0.62,+1.28) buttons=A/jump,X/shoot,RT/accel,Dr  state={}
  exec3: stick=(+0.60,+1.24) buttons=A/jump,X/shoot,B,RT/accel  state={}
# re-plan#07  plan='Click Start New Game'
  exec0: stick=(+1.13,-0.09) buttons=A/jump,X/shoot,B,Y,RT/accel,LB  state={}
  exec1: stick=(+1.22,-0.23) buttons=A/jump,X/shoot,B,Y,RT/accel,LB  state={}
  exec2: stick=(+1.18,-0.14) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec3: stick=(+1.10,-0.27) buttons=X/shoot,B,RT/accel  state={}
# re-plan#08  plan='Click Start New Game'
  exec0: stick=(+0.93,+0.44) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(+1.24,+0.94) buttons=A/jump,X/shoot,RT/accel  state={}
  exec2: stick=(+1.49,+1.34) buttons=A/jump,X/shoot,RT/accel  state={}
  exec3: stick=(+1.58,+1.43) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#09  plan='Click Start New Game'
  exec0: stick=(+1.36,+1.23) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(+1.55,+1.20) buttons=A/jump,X/shoot,RT/accel,Start  state={}
  exec2: stick=(+1.51,+1.30) buttons=X/shoot,RT/accel  state={}
  exec3: stick=(+1.26,+1.20) buttons=X/shoot,RT/accel  state={}
