env=stk  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=2  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are driving a kart. What should the agent do next to stay on the track and race well?

# re-plan#00  plan='Steer left to follow the track'
  exec0: stick=(+0.23,+0.16) buttons=RT/accel  state={}
  exec1: stick=(+0.01,+0.16) buttons=RT/accel  state={}
# re-plan#01  plan='Steer left to follow the track'
  exec0: stick=(+0.05,+0.97) buttons=RT/accel  state={}
  exec1: stick=(-0.24,-0.05) buttons=RT/accel  state={}
# re-plan#02  plan='Accelerate to maintain speed'
  exec0: stick=(+0.02,+0.32) buttons=X/shoot,B,Y,RT/accel  state={}
  exec1: stick=(-0.07,+0.18) buttons=X/shoot,B,Y,RT/accel  state={}
# re-plan#03  plan='Steer left to follow the track'
  exec0: stick=(+0.11,+0.77) buttons=RT/accel  state={}
  exec1: stick=(+0.10,+0.81) buttons=RT/accel  state={}
# re-plan#04  plan='Steer left to avoid the obstacle'
  exec0: stick=(+0.10,+0.91) buttons=-  state={}
  exec1: stick=(+0.49,+0.51) buttons=-  state={}
# re-plan#05  plan='Accelerate to maintain track position'
  exec0: stick=(-0.12,+0.03) buttons=RT/accel,Start  state={}
  exec1: stick=(-0.11,+0.15) buttons=RT/accel,Start  state={}
# re-plan#06  plan='Steer left to follow the track'
  exec0: stick=(+1.03,+0.56) buttons=RT/accel,LB  state={}
  exec1: stick=(+1.03,+0.57) buttons=RT/accel,LB  state={}
# re-plan#07  plan='Steer left to follow the track'
  exec0: stick=(+0.91,+0.40) buttons=RT/accel,LT/brake  state={}
  exec1: stick=(+0.92,+0.38) buttons=RT/accel,LT/brake,Start  state={}
# re-plan#08  plan='Steer left to follow the track'
  exec0: stick=(+0.94,+0.36) buttons=RT/accel,Start  state={}
  exec1: stick=(+0.93,+0.29) buttons=RT/accel,Start  state={}
# re-plan#09  plan='Steer left to follow the track'
  exec0: stick=(+0.95,+0.41) buttons=A/jump,RT/accel  state={}
  exec1: stick=(+0.95,+0.41) buttons=A/jump,RT/accel  state={}
# re-plan#10  plan='Steer left to follow the track'
  exec0: stick=(+0.07,+0.14) buttons=-  state={}
  exec1: stick=(+0.07,+0.20) buttons=-  state={}
# re-plan#11  plan='Steer left to follow the track'
  exec0: stick=(+0.03,+0.36) buttons=RT/accel  state={}
  exec1: stick=(+0.02,+0.37) buttons=RT/accel  state={}
# re-plan#12  plan='Steer left to follow the track'
  exec0: stick=(+0.16,+0.89) buttons=A/jump,RT/accel  state={}
  exec1: stick=(+0.21,+0.87) buttons=A/jump,RT/accel  state={}
# re-plan#13  plan='Steer left to follow the track'
  exec0: stick=(+0.17,+0.48) buttons=RT/accel  state={}
  exec1: stick=(+0.03,+0.64) buttons=RT/accel  state={}
# re-plan#14  plan='Steer left to avoid the obstacle'
  exec0: stick=(+0.02,+0.38) buttons=A/jump,B,Dn,Dl  state={}
  exec1: stick=(-0.03,+0.36) buttons=A/jump,B,Dn,Dl  state={}
# re-plan#15  plan='Steer left to follow the track'
  exec0: stick=(+0.51,+0.51) buttons=-  state={}
  exec1: stick=(+0.50,+0.51) buttons=-  state={}
# re-plan#16  plan='Steer left to follow the track'
  exec0: stick=(+0.43,+0.98) buttons=RT/accel  state={}
  exec1: stick=(+0.42,+0.98) buttons=RT/accel  state={}
# re-plan#17  plan='Accelerate to maintain track position'
  exec0: stick=(+0.22,+2.11) buttons=A/jump,B,RT/accel  state={}
  exec1: stick=(+0.22,+2.11) buttons=A/jump,B,RT/accel  state={}
# re-plan#18  plan='Steer left to follow the track'
  exec0: stick=(+0.83,+1.10) buttons=B,RT/accel  state={}
  exec1: stick=(+0.77,+1.08) buttons=B,RT/accel  state={}
# re-plan#19  plan='Accelerate to maintain track position'
  exec0: stick=(+1.11,+1.17) buttons=X/shoot,B,RT/accel  state={}
  exec1: stick=(+1.45,+1.55) buttons=X/shoot,B,RT/accel  state={}
