env=thextech  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=4  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are a platformer hero. What should the agent do next to advance and avoid hazards?

# re-plan#00  plan='Jump to the right platform.'  state={}
  exec0: stick=(+1.07,-0.22) buttons=A/jump,X/shoot,RT/accel
  exec1: stick=(+1.21,-0.19) buttons=A/jump,X/shoot,RT/accel,Dr
  exec2: stick=(+1.48,-0.35) buttons=A/jump,X/shoot,RT/accel,Dr
  exec3: stick=(+1.27,-0.39) buttons=RT/accel,Dr
# re-plan#01  plan='Jump to the right platform.'  state={}
  exec0: stick=(+0.07,-0.09) buttons=A/jump,X/shoot,B,Y,RT/accel
  exec1: stick=(+0.75,-0.05) buttons=A/jump,B,Y,RT/accel,RB,Dl,Dr
  exec2: stick=(+0.94,+0.03) buttons=A/jump,B,RT/accel,RB,Dl
  exec3: stick=(+1.19,-0.16) buttons=A/jump,B,RT/accel,RB,Dl
# re-plan#02  plan='Jump to the platform'  state={}
  exec0: stick=(+0.22,+0.29) buttons=A/jump,X/shoot,B,RT/accel
  exec1: stick=(+0.16,+0.41) buttons=A/jump,B,Y,RT/accel
  exec2: stick=(+0.23,+0.28) buttons=A/jump,X/shoot,B,Y,RT/accel
  exec3: stick=(-0.09,+0.39) buttons=A/jump,X/shoot,B,Y,RT/accel
# re-plan#03  plan='Select Restart Level'  state={}
  exec0: stick=(+0.01,+0.39) buttons=RT/accel
  exec1: stick=(+0.07,+0.36) buttons=RT/accel
  exec2: stick=(+0.03,+0.41) buttons=RT/accel
  exec3: stick=(+0.04,+0.44) buttons=RT/accel
# re-plan#04  plan='Press Restart Level'  state={}
  exec0: stick=(+0.91,+0.36) buttons=Start
  exec1: stick=(+0.86,+0.24) buttons=A/jump,B,RT/accel
  exec2: stick=(+0.86,+0.17) buttons=A/jump,B,Y,RT/accel
  exec3: stick=(+0.85,+0.15) buttons=A/jump,B,Y,RT/accel
# re-plan#05  plan='Select Restart Level'  state={}
  exec0: stick=(+1.05,+0.83) buttons=RT/accel
  exec1: stick=(+1.04,+0.80) buttons=RT/accel
  exec2: stick=(+1.03,+0.79) buttons=RT/accel
  exec3: stick=(+1.02,+0.80) buttons=RT/accel
# re-plan#06  plan='Press Restart Level'  state={}
  exec0: stick=(+0.82,+0.16) buttons=X/shoot,RT/accel
  exec1: stick=(+0.91,+0.24) buttons=X/shoot,RT/accel
  exec2: stick=(+0.96,+0.28) buttons=RT/accel
  exec3: stick=(+0.94,+0.32) buttons=RT/accel
# re-plan#07  plan='Select Restart Level'  state={}
  exec0: stick=(+1.03,+0.49) buttons=RT/accel
  exec1: stick=(+1.01,+0.48) buttons=RT/accel
  exec2: stick=(+1.04,+0.54) buttons=RT/accel
  exec3: stick=(+1.01,+0.46) buttons=RT/accel
# re-plan#08  plan='Press Restart Level'  state={}
  exec0: stick=(+1.01,+0.53) buttons=X/shoot,RT/accel
  exec1: stick=(+1.01,+0.61) buttons=X/shoot,RT/accel
  exec2: stick=(+1.03,+0.68) buttons=X/shoot,B,Y,RT/accel
  exec3: stick=(+1.01,+0.76) buttons=X/shoot,Y,RT/accel
# re-plan#09  plan='Press Restart Level'  state={}
  exec0: stick=(+0.75,+0.07) buttons=-
  exec1: stick=(+0.78,+0.07) buttons=-
  exec2: stick=(+0.78,+0.06) buttons=-
  exec3: stick=(+0.75,+0.05) buttons=-
