env=trigger_rally  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=4  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are driving a rally car. What should the agent do next to stay on the road?

# re-plan#00  plan='Accelerate to maintain speed.'  state={}
  exec0: stick=(+0.89,+0.41) buttons=X/shoot,B,Y
  exec1: stick=(+0.91,+0.31) buttons=X/shoot,Y
  exec2: stick=(+0.71,+0.36) buttons=Y
  exec3: stick=(+0.62,+0.39) buttons=Y
# re-plan#01  plan='Accelerate to maintain speed.'  state={}
  exec0: stick=(+0.32,+1.21) buttons=B
  exec1: stick=(+0.29,+1.20) buttons=B
  exec2: stick=(+0.28,+1.25) buttons=B
  exec3: stick=(+0.30,+1.28) buttons=B
# re-plan#02  plan='Steer left to avoid the obstacle.'  state={}
  exec0: stick=(+0.54,+0.49) buttons=-
  exec1: stick=(+0.54,+0.80) buttons=-
  exec2: stick=(+0.59,+1.02) buttons=-
  exec3: stick=(+0.61,+1.03) buttons=-
# re-plan#03  plan='Steer left to avoid tall grass.'  state={}
  exec0: stick=(+0.10,-0.06) buttons=RT/accel
  exec1: stick=(+0.44,+0.47) buttons=RT/accel
  exec2: stick=(+0.48,+0.50) buttons=RT/accel
  exec3: stick=(+0.48,+0.51) buttons=RT/accel
# re-plan#04  plan='Steer left to avoid the tall grass.'  state={}
  exec0: stick=(+0.49,+0.50) buttons=A/jump,B,RT/accel
  exec1: stick=(+0.49,+0.51) buttons=A/jump,B,RT/accel
  exec2: stick=(+0.47,+0.51) buttons=A/jump,RT/accel,Dr
  exec3: stick=(+0.47,+0.52) buttons=A/jump,RT/accel,Dr
# re-plan#05  plan='Steer left to avoid tall grass.'  state={}
  exec0: stick=(+0.37,+0.51) buttons=-
  exec1: stick=(+0.36,+0.51) buttons=-
  exec2: stick=(+0.37,+0.52) buttons=-
  exec3: stick=(+0.37,+0.51) buttons=RT/accel
# re-plan#06  plan='Steer left to avoid tall grass.'  state={}
  exec0: stick=(+0.52,+0.51) buttons=B,RT/accel
  exec1: stick=(+0.50,+0.51) buttons=B,RT/accel
  exec2: stick=(+0.49,+0.51) buttons=RT/accel
  exec3: stick=(+0.49,+0.52) buttons=RT/accel
# re-plan#07  plan='Steer left to follow the road.'  state={}
  exec0: stick=(+0.10,+0.77) buttons=A/jump,B,RT/accel
  exec1: stick=(+0.09,+0.77) buttons=A/jump,B,RT/accel
  exec2: stick=(+0.09,+0.79) buttons=A/jump,B,RT/accel
  exec3: stick=(+0.09,+0.81) buttons=A/jump,B,RT/accel
# re-plan#08  plan='Steer left to follow the road.'  state={}
  exec0: stick=(+0.50,+0.51) buttons=RT/accel
  exec1: stick=(+0.51,+0.50) buttons=RT/accel
  exec2: stick=(+0.50,+0.50) buttons=RT/accel
  exec3: stick=(+0.50,+0.50) buttons=RT/accel
# re-plan#09  plan='Steer left to avoid the obstacle.'  state={}
  exec0: stick=(+0.03,+0.41) buttons=B,RT/accel
  exec1: stick=(+0.49,+0.45) buttons=A/jump,RT/accel
  exec2: stick=(+0.55,+0.42) buttons=A/jump,RT/accel
  exec3: stick=(+0.53,+0.46) buttons=A/jump,RT/accel
