env=sdlpop  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=2  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are a platformer hero. What should the agent do next to advance through the level?

# re-plan#00  plan='Jump to the right to avoid the enemy and continue advancing through the level.'
  exec0: stick=(-0.07,+0.71) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(-0.04,+0.77) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#01  plan='Jump to the right platform to continue progressing through the level.'
  exec0: stick=(+0.99,+0.05) buttons=B,Y,RT/accel,RB  state={}
  exec1: stick=(+1.19,-0.12) buttons=Y,RT/accel,RB  state={}
# re-plan#02  plan='The agent should jump to the right to reach the next platform, as the leftward movement is blocked by the torches and the rightward jump is necessary to progress.'
  exec0: stick=(+0.65,+0.87) buttons=RT/accel  state={}
  exec1: stick=(+0.49,+0.89) buttons=RT/accel  state={}
# re-plan#03  plan='The agent should jump to the right to reach the next platform and continue progressing through the level.'
  exec0: stick=(-1.06,+2.06) buttons=B,Y,RT/accel  state={}
  exec1: stick=(-1.05,+1.95) buttons=B,Y,RT/accel  state={}
# re-plan#04  plan='The agent should jump to the right to reach the next platform, as the leftmost platform is currently unreachable.'
  exec0: stick=(+0.98,+0.35) buttons=X/shoot,B,RT/accel  state={}
  exec1: stick=(+0.94,+0.38) buttons=X/shoot,B,Y,RT/accel  state={}
# re-plan#05  plan='The agent should jump to the right to reach the next platform, as this is the only viable path to progress forward.'
  exec0: stick=(+1.12,+0.65) buttons=RT/accel,Dl  state={}
  exec1: stick=(+1.16,+0.65) buttons=RT/accel  state={}
# re-plan#06  plan='The agent should jump to the right to reach the next platform and continue progressing through the level.'
  exec0: stick=(+0.86,+0.73) buttons=X/shoot,B,RT/accel  state={}
  exec1: stick=(+0.91,+0.57) buttons=X/shoot,B,Y,RT/accel  state={}
# re-plan#07  plan='The agent should jump to the right to reach the next platform, as this is the only viable path to progress forward in the level.'
  exec0: stick=(+0.05,+1.03) buttons=B,RT/accel  state={}
  exec1: stick=(+0.02,+1.08) buttons=B,RT/accel  state={}
# re-plan#08  plan='jump to the right platform to reach the next section of the level.'
  exec0: stick=(+1.03,+0.51) buttons=X/shoot,RT/accel,Dn  state={}
  exec1: stick=(+1.04,+0.50) buttons=X/shoot,RT/accel,Dn  state={}
# re-plan#09  plan='The agent should jump to the right to reach the next platform, as the character is currently on the left side of the current platform and needs to move right to proceed.'
  exec0: stick=(-0.03,+0.64) buttons=A/jump,RT/accel,LB  state={}
  exec1: stick=(-0.04,+0.63) buttons=A/jump,X/shoot,RT/accel,LB  state={}
# re-plan#10  plan='jump to the right platform to reach the next section of the level.'
  exec0: stick=(+0.58,+0.86) buttons=X/shoot,B,Y  state={}
  exec1: stick=(+0.42,+0.95) buttons=X/shoot,B  state={}
# re-plan#11  plan='The agent should jump to the right to reach the next platform, as the left path is blocked by a wall and the right path leads to an open area.'
  exec0: stick=(+1.05,+0.29) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.14,+0.33) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#12  plan='The agent should jump to the right to reach the next platform, as the character is currently on a lower ledge and needs to ascend to continue progressing.'
  exec0: stick=(+1.09,+0.63) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(+1.10,+0.64) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#13  plan='jump to reach the higher platform and continue progressing through the level.'
  exec0: stick=(+0.59,+1.12) buttons=B,RT/accel  state={}
  exec1: stick=(+0.53,+1.11) buttons=B,RT/accel  state={}
# re-plan#14  plan='The agent should jump to the right to reach the next platform, as the left path is blocked by a wall and the right path leads to an open area.'
  exec0: stick=(+1.23,+0.99) buttons=RT/accel  state={}
  exec1: stick=(+1.26,+0.99) buttons=RT/accel,RB  state={}
# re-plan#15  plan='The agent should jump down to the lower platform to continue progressing through the level.'
  exec0: stick=(+0.40,+0.90) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(+0.29,+0.87) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#16  plan='The agent should jump down to the lower platform to continue progressing through the level.'
  exec0: stick=(+1.18,+0.84) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.26,+0.86) buttons=X/shoot,Y,RT/accel  state={}
# re-plan#17  plan='The agent should jump to the right to reach the next platform, as the leftward movement shown in the first frame is not possible due to the character's current position and the game's mechanics.'
  exec0: stick=(+0.02,+1.06) buttons=A/jump,RT/accel  state={}
  exec1: stick=(+0.01,+1.14) buttons=A/jump,B,RT/accel  state={}
# re-plan#18  plan='The agent should jump down to the lower platform to continue progressing through the level.'
