env=stk  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=2  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are driving a kart. What should the agent do next to stay on the track and race well?

# re-plan#00  plan='The agent should move right to stay on the track and race well because the kart is currently positioned slightly off the track to the left, and moving right will help correct this alignment.'
  exec0: stick=(+0.01,-0.07) buttons=-  state={}
  exec1: stick=(+0.07,-0.07) buttons=-  state={}
# re-plan#01  plan='The agent should move left to stay on the track and avoid the pit lane, which is the concrete direction to move.'
  exec0: stick=(+0.47,+0.95) buttons=X/shoot  state={}
  exec1: stick=(+0.48,+0.95) buttons=X/shoot  state={}
# re-plan#02  plan='The agent should move right, as the checkered finish line is directly ahead and moving right will keep the kart on the track.'
  exec0: stick=(+0.87,+0.12) buttons=-  state={}
  exec1: stick=(+0.89,+0.13) buttons=-  state={}
# re-plan#03  plan='The agent should steer right to stay on the track and race well.'
  exec0: stick=(-0.29,-0.36) buttons=RT/accel  state={}
  exec1: stick=(-0.39,-0.44) buttons=RT/accel  state={}
# re-plan#04  plan='The agent should move forward to stay on the track and race well.'
  exec0: stick=(-0.03,+0.28) buttons=X/shoot,B,RT/accel  state={}
  exec1: stick=(-0.05,+0.25) buttons=X/shoot,B,Y,RT/accel  state={}
# re-plan#05  plan='The agent should move left because the kart is currently off the track and needs to reposition to stay on the path.'
  exec0: stick=(+0.99,+0.60) buttons=B,RT/accel,Dl  state={}
  exec1: stick=(+0.99,+0.58) buttons=B,RT/accel,Dl  state={}
# re-plan#06  plan='The agent should move right to stay on the track and race well because the kart is currently off the track and needs to correct its position.'
  exec0: stick=(+1.27,+1.41) buttons=B,RT/accel  state={}
  exec1: stick=(+1.32,+1.39) buttons=B,RT/accel  state={}
# re-plan#07  plan='The agent should move right, as the kart is currently positioned on the checkered finish line and needs to transition onto the dirt track to continue racing.'
  exec0: stick=(+0.44,+1.09) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+0.34,+1.08) buttons=X/shoot,RT/accel  state={}
# re-plan#08  plan='The agent should steer right to follow the white track line and avoid the off-road terrain.'
  exec0: stick=(-0.10,+0.05) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(-0.06,+0.08) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#09  plan='The agent should move left to stay on the track and avoid the obstacle ahead.'
  exec0: stick=(+0.54,+1.06) buttons=B,RT/accel,LB  state={}
  exec1: stick=(+0.54,+1.07) buttons=B,RT/accel,LB  state={}
# re-plan#10  plan='The agent should move forward to stay on the track and race well.'
  exec0: stick=(+0.94,+0.48) buttons=X/shoot,B,RT/accel  state={}
  exec1: stick=(+0.95,+0.38) buttons=B,RT/accel  state={}
# re-plan#11  plan='The agent should move forward to stay on the track and race well.'
