Using ProcRLEnv('thextech') with env.A=18, 30 chunks, right, jump pulses 5/9 rows
level	boots	start_x	max_x	total_dx	chunks	outcome	classification
intro	False				0	no playable state: {'step': 0, 'x': -199500.0, 'y': -200094.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 1, 'won': 0, 'beat_code': 0, 'nplayers': 1}	UNPLAYABLE
level1	True	66.0	722.2	656.2	2	dead+menu	SHORT/CEILING
level2	True	162.0	854.2	692.2	3	dead+menu	HEADROOM
level3	True	98.0	1004.6	906.6	3	dead+menu	HEADROOM
level4	True	34.0	328.0	294.0	30	alive; last_x=328.0; vx=0.2	SHORT/CEILING
level5	True	98.0	189.5	91.5	1	dead+menu	SHORT/CEILING
level6	True	98.0	328.0	230.0	30	alive; last_x=328.0; vx=0.2	SHORT/CEILING
level7	True	194.0	424.0	230.0	30	alive; last_x=424.0; vx=0.2	SHORT/CEILING
level8	True	66.0	1448.2	1382.2	3	dead+menu	HEADROOM
bonus1	True	226.0	800.5	574.5	1	won/beat_code=3	SHORT/CEILING
level20	True	260.0	1067.2	807.2	3	dead+menu	HEADROOM
